,Name,Age,Batting style,Bowling style,Role,Country
388,Hiri Hiri,28,Right-handed,Right-arm off break,Batters,Papua_New_Guinea
389,Gaudi Toka,29,Left-handed,Right-arm medium,Batters,Papua_New_Guinea
390,Assad Vala,36,Right-handed,Right-arm off break,All-Rounders,Papua_New_Guinea
391,Norman Vanua,29,Right-handed,Right-arm medium,All-Rounders,Papua_New_Guinea
392,Charles Amini,31,Left-handed,Right-arm leg break,All-Rounders,Papua_New_Guinea
393,Chad Soper,32,Right-handed,Right-arm medium,All-Rounders,Papua_New_Guinea
394,Simon Atai,24,Left-handed,Slow left-arm orthodox,All-Rounders,Papua_New_Guinea
395,Kiplin Doriga,28,Right-handed,,Wicket Keeper,Papua_New_Guinea
396,Hila Vare,22,Left-handed,,Wicket Keeper,Papua_New_Guinea
397,John Kariko,19,Left-handed,Slow left-arm orthodox,Spin Bowler,Papua_New_Guinea
398,Riley Hekure,28,Right-handed,Right-arm medium,Pace Bowler,Papua_New_Guinea
399,Semo Kamea,22,Left-handed,Left-arm fast,Pace Bowler,Papua_New_Guinea
400,Kabua Morea,30,Right-handed,Left-arm medium,Pace Bowler,Papua_New_Guinea
401,Alei Nao,29,Right-handed,Right-arm medium,Pace Bowler,Papua_New_Guinea
402,Damien Ravu,29,Right-handed,Right-arm medium,Pace Bowler,Papua_New_Guinea
403,Richie Berrington (Captain),36,Right-handed,Right-arm medium-fast,Batters,Scotland
404,Oli Hairs,32,Left-handed,Right-arm off break,Batters,Scotland
405,Christopher McBride,24,Right-handed,Right-arm medium,Batters,Scotland
406,George Munsey,30,Left-handed,Right-arm medium-fast,Batters,Scotland
407,Jack Jarvis,20,Right-handed,Right-arm medium,All-Rounders,Scotland
408,Chris Greaves,33,Right-handed,Right-arm leg-break,All-Rounders,Scotland
409,Michael Leask,33,Right-handed,Right-arm off break,All-Rounders,Scotland
410,Brandon McMullen,24,Right-handed,Right-arm medium,All-Rounders,Scotland
411,Matthew Cross (Vice-captain),31,Right-handed,"ODI, T20I",Wicket Keeper,Scotland
412,Tom Mackintosh,20,Right-handed,"ODI, T20I",Wicket Keeper,Scotland
413,Hamza Tahir,28,Right-handed,Slow left-arm orthodox,Spin Bowler,Scotland
414,Mark Watt,27,Left-handed,Slow left-arm orthodox,Spin Bowler,Scotland
415,Brad Currie,25,Right-handed,Left-arm medium-fast,Pace Bowler,Scotland
416,Alasdair Evans,34,Right-handed,Right-arm medium-fast,Pace Bowler,Scotland
417,Gavin Main,28,Right-handed,Right-arm fast,Pace Bowler,Scotland
418,Adrian Neill,29,Right-handed,Right-arm medium-fast,Pace Bowler,Scotland
419,Safyaan Sharif,32,Right-handed,Right-arm medium-fast,Pace Bowler,Scotland
420,Chris Sole,29,Right-handed,Right-arm fast,Pace Bowler,Scotland
421,Temba Bavuma,33,Right-handed,Right-arm medium,Batters,SouthAfrica
422,Matthew Breetzke,25,Right-handed,—,Batters,SouthAfrica
423,Dean Elgar,36,Left-handed,Left-arm orthodox,Batters,SouthAfrica
424,Sarel Erwee,34,Left-handed,—,Batters,SouthAfrica
425,Tony De Zorzi,26,Left-handed,—,Batters,SouthAfrica
426,Reeza Hendricks,34,Right-handed,Right-arm off break,Batters,SouthAfrica
427,Aiden Markram,29,Right-handed,Right arm off break,Batters,SouthAfrica
428,David Miller,34,Left-handed,—,Batters,SouthAfrica
429,Keegan Petersen,30,Right-handed,—,Batters,SouthAfrica
430,Rilee Rossouw,34,Left-handed,Right-arm off break,Batters,SouthAfrica
431,Rassie van der Dussen,34,Right-handed,Right-arm leg break,Batters,SouthAfrica
432,Khaya Zondo,33,Right-handed,—,Batters,SouthAfrica
433,Dewald Brevis,20,Right-handed,—,All-Rounders,SouthAfrica
434,Donovan Ferreira,25,Right-handed,—,All-Rounders,SouthAfrica
435,Marco Jansen,23,Right-handed,Left-arm medium-fast,All-Rounders,SouthAfrica
436,Wiaan Mulder,25,Right-handed,Right-arm medium,All-Rounders,SouthAfrica
437,Senuran Muthusamy,29,Left-handed,Left-arm orthodox,All-Rounders,SouthAfrica
438,Andile Phehlukwayo,27,Left-handed,Right-arm medium-fast,All-Rounders,SouthAfrica
439,Quinton de Kock,30,Left-handed,—,Wicket Keeper,SouthAfrica
440,Heinrich Klaasen,32,Right-handed,Right-arm off break,Wicket Keeper,SouthAfrica
441,Ryan Rickelton,27,Left-handed,—,Wicket Keeper,SouthAfrica
442,Tristan Stubbs,23,Right-handed,Right-arm off break,Wicket Keeper,SouthAfrica
443,Kyle Verreynne,26,Right-handed,—,Wicket Keeper,SouthAfrica
444,Bjorn Fortuin,29,Right-handed,Left-arm orthodox,Spin Bowler,SouthAfrica
445,Simon Harmer,34,Right-handed,Right-arm off break,Spin Bowler,SouthAfrica
446,Keshav Maharaj,33,Right-handed,Left-arm orthodox,Spin Bowler,SouthAfrica
447,Tabraiz Shamsi,33,Right-handed,Left-arm unorthodox,Spin Bowler,SouthAfrica
448,Gerald Coetzee,23,Right-handed,Right-arm fast,Seam Bowler,SouthAfrica
449,Sisanda Magala,32,Right-handed,Right-arm fast-medium,Seam Bowler,SouthAfrica
450,Lungi Ngidi,27,Right-handed,Right-arm fast-medium,Seam Bowler,SouthAfrica
451,Anrich Nortje,30,Right-handed,Right-arm fast,Seam Bowler,SouthAfrica
452,Wayne Parnell,34,Left-handed,Left-arm medium-fast,Seam Bowler,SouthAfrica
453,Kagiso Rabada,28,Left-handed,Right-arm fast,Seam Bowler,SouthAfrica
454,Lizaad Williams,30,Left-handed,Right-arm medium-fast,Seam Bowler,SouthAfrica
455,Ashen Bandara,24,Right-handed,Right-arm leg break,Batters,SriLanka
456,Dinesh Chandimal,34,Right-handed,—,Batters,SriLanka
457,Lasith Croospulle,25,Right-handed,—,Batters,SriLanka
458,Shevon Daniel,19,Left-handed,—,Batters,SriLanka
459,Avishka Fernando,25,Right-handed,—,Batters,SriLanka
460,Nuwanidu Fernando,24,Right-handed,Right-arm off break,Batters,SriLanka
461,Oshada Fernando,31,Right-handed,Right-arm leg break,Batters,SriLanka
462,Dimuth Karunaratne,35,Left-handed,Right-arm medium,Batters,SriLanka
463,Pathum Nissanka,25,Right-handed,—,Batters,SriLanka
464,Kusal Perera,33,Left-handed,—,Batters,SriLanka
465,Bhanuka Rajapaksa,32,Left-handed,—,Batters,SriLanka
466,Sahan Arachchige,27,Left-handed,Right-arm off break,All-Rounders,SriLanka
467,Charith Asalanka,26,Left-handed,Right-arm off break,All-Rounders,SriLanka
468,Dhananjaya de Silva,32,Right-handed,Right-arm off break,All-Rounders,SriLanka
469,Ravindu Fernando,24,Right-handed,Right-arm off break,All-Rounders,SriLanka
470,Wanindu Hasaranga,26,Right-handed,Right-arm leg break,All-Rounders,SriLanka
471,Dushan Hemantha,29,Right-handed,Right-arm leg break,All-Rounders,SriLanka
472,Chamika Karunaratne,27,Right-handed,Right-arm medium-fast,All-Rounders,SriLanka
473,Angelo Mathews,36,Right-handed,Right-arm medium,All-Rounders,SriLanka
474,Ramesh Mendis,28,Right-handed,Right-arm off break,All-Rounders,SriLanka
475,Lahiru Samarakoon,26,Left-handed,Right-arm Fast,All-Rounders,SriLanka
476,Dasun Shanaka,32,Right-handed,Right-arm medium,All-Rounders,SriLanka
477,Nimesh Vimukthi,26,Left-handed,Slow left-arm orthodox,All-Rounders,SriLanka
478,Dunith Wellalage,20,Left-handed,Slow left-arm orthodox,All-Rounders,SriLanka
479,Niroshan Dickwella,30,Left-handed,—,Wicket Keeper,SriLanka
480,Nishan Madushka,24,Right-handed,—,Wicket Keeper,SriLanka
481,Kusal Mendis,28,Right-handed,Right-arm leg spin,Wicket Keeper,SriLanka
482,Sadeera Samarawickrama,28,Right-handed,—,Wicket Keeper,SriLanka
483,Lahiru Udara,29,Right-handed,—,Wicket Keeper,SriLanka
484,Prabath Jayasuriya,32,Right-handed,Slow left-arm orthodox,Spin Bowler,SriLanka
485,Maheesh Theekshana,23,Right-handed,Right-arm off break,Spin Bowler,SriLanka
486,Jeffrey Vandersay,33,Right-handed,Right-arm leg break,Spin Bowler,SriLanka
487,Vijayakanth Viyaskanth,21,Right-handed,Right-arm Leg break,Spin Bowler,SriLanka
488,Dushmantha Chameera,31,Right-handed,Right-arm fast,Pace Bowler,SriLanka
489,Asitha Fernando,26,Right-handed,Right-arm medium-fast,Pace Bowler,SriLanka
490,Vishwa Fernando,32,Right-handed,Left-arm medium-fast,Pace Bowler,SriLanka
491,Lahiru Kumara,26,Left-handed,Right-arm fast,Pace Bowler,SriLanka
492,Pramod Madushan,29,Right-handed,Right-arm medium-fast,Pace Bowler,SriLanka
493,Dilshan Madushanka,23,Right-handed,Left-arm fast-medium,Pace Bowler,SriLanka
494,Matheesha Pathirana,20,Right-handed,Right-arm fast,Pace Bowler,SriLanka
495,Kasun Rajitha,30,Right-handed,Right-arm medium-fast,Pace Bowler,SriLanka
496,Nuwan Thushara,29,Right-handed,Right-arm medium-fast,Pace Bowler,SriLanka
497,Muhammad Waseem,29,Right-handed,Right-arm medium,Batters,UAE
498,Chundangapoyil Rizwan,35,Right-handed,Right-arm leg break,Batters,UAE
499,Asif Khan,33,Right-handed,Right-arm off break,Batters,UAE
500,Alishan Sharafu,20,Right-handed,Right-arm medium,Batters,UAE
501,Rameez Shahzad,35,Right-handed,Right-arm off break,Batters,UAE
502,Ethan D'Souza,,Left-handed,Right-arm off break,Batters,UAE
503,Fahad Nawaz,23,Right-handed,Slow left-arm orthodox,Batters,UAE
504,Ansh Tandon,22,Left-handed,Right-arm off break,Batters,UAE
505,Rohan Mustafa,35,Left-handed,Right-arm off break,All-Rounders,UAE
506,Basil Hameed,31,Right-handed,Right-arm off break,All-Rounders,UAE
507,Aryan Lakra,21,Left-handed,Slow left-arm orthodox,All-Rounders,UAE
508,Zawar Farid,31,Right-handed,Right-arm medium,All-Rounders,UAE
509,Vriitya Aravind,21,Right-handed,Slow left-arm orthodox,Wicket Keeper,UAE
510,Aryansh Sharma,18,Right-handed,Slow left-arm orthodox,Wicket Keeper,UAE
511,Aayan Afzal Khan,18,Right-handed,Slow left-arm orthodox,Spin Bowler,UAE
512,Karthik Meiyappan,23,Right-handed,Right-arm leg break,Spin Bowler,UAE
513,Junaid Siddique,30,Right-handed,Right-arm medium-fast,Pace Bowler,UAE
514,Zahoor Khan,34,Right-handed,Right-arm medium-fast,Pace Bowler,UAE
515,Sanchit Sharma,22,Right-handed,Right-arm medium,Pace Bowler,UAE
516,Ali Naseer,19,Left-handed,Right-arm medium,Pace Bowler,UAE
517,Muhammad Jawadullah,24,Right-handed,Left-arm medium-fast,Pace Bowler,UAE
518,Akif Raja,30,Left-handed,Right-arm medium-fast,Pace Bowler,UAE
519,Gajanand Singh,36,Left-handed,Left-arm medium,Batters,USA
520,Aaron Jones,29,Right-handed,Right-arm leg spin,Batters,USA
521,Sushant Modani,34,Right-handed,Right-arm off spin,Batters,USA
522,Saiteja Mukkamalla,19,Right-handed,Right-arm off spin,Batters,USA
523,Marty Kain,35,Left-handed,Slow left-arm orthodox,Batters,USA
524,Nisarg Patel,30,Right-handed,Right-arm off spin,All-Rounders,USA
525,Steven Taylor,30,Left-handed,Right-arm off spin,All-Rounders,USA
526,Vatsal Vaghela,21,Left-handed,Slow left-arm orthodox,All-Rounders,USA
527,Monank Patel,30,Right-handed,Slow left-arm orthodox,Wicket Keeper,USA
528,Jaskaran Malhotra,28,Right-handed,Slow left-arm orthodox,Wicket Keeper,USA
529,Shayan Jahangir,28,Right-handed,Slow left-arm orthodox,Wicket Keeper,USA
530,Nosthush Kenjige,37,Left-handed,Right-arm off spin,Spin Bowler,USA
531,Yasir Mohammad,21,Left-handed,Right-arm leg spin,Spin Bowler,USA
532,Usman Rafiq,35,Right-handed,Right-arm off spin,Spin Bowler,USA
533,Saurabh Netravalkar,32,Right-handed,Left-arm medium,Pace Bowler,USA
534,Cameron Stevenson,31,Right-handed,Right-arm fast-medium,Pace Bowler,USA
535,Ali Khan,31,Right-handed,Right-arm medium,Pace Bowler,USA
536,Rusty Theron,38,Right-handed,Right-arm fast-medium,Pace Bowler,USA
537,Jasdeep Singh,30,Right-handed,Right-arm medium,Pace Bowler,USA
538,Siva Kumar,33,Right-handed,Right-arm fast-medium,Pace Bowler,USA
539,Kyle Phillip,26,Right-handed,Right-arm fast-medium,Pace Bowler,USA
540,Abhishek Paradkar,23,Left-handed,Left-arm medium,Pace Bowler,USA
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,Ryan Burl,29,Left-handed,LB,Batters,Zimbabwe
587,Chamu Chibhabha,37,Right-handed,RM,Batters,Zimbabwe
588,Craig Ervine,38,Left-handed,—,Batters,Zimbabwe
589,Innocent Kaia,31,Right-handed,LB,Batters,Zimbabwe
590,Tanunurwa Makoni,23,Right-handed,—,Batters,Zimbabwe
591,Tadiwanashe Marumani,21,Left-handed,—,Batters,Zimbabwe
592,Milton Shumba,22,Left-handed,SLO,Batters,Zimbabwe
593,Sean Williams,37,Left-handed,SLO,Batters,Zimbabwe
594,Brad Evans,26,Right-handed,RF,All-Rounders,Zimbabwe
595,Luke Jongwe,28,Right-handed,RFM,All-Rounders,Zimbabwe
596,Wesley Madhevere,23,Right-handed,OB,All-Rounders,Zimbabwe
597,Brandon Mavuta,26,Right-handed,LB,All-Rounders,Zimbabwe
598,Tony Munyonga,24,Right-handed,OB,All-Rounders,Zimbabwe
599,Sikandar Raza,37,Right-handed,OB,All-Rounders,Zimbabwe
600,Tafadzwa Tsiga,29,Right-handed,-,Wicket Keeper,Zimbabwe
601,Clive Madande,23,Right-handed,-,Wicket Keeper,Zimbabwe
602,Wellington Masakadza,30,Left-handed,SLO,Spin Bowler,Zimbabwe
603,Tendai Chatara,32,Right-handed,RFM,Pace Bowler,Zimbabwe
604,Tanaka Chivanga,30,Right-handed,RF,Pace Bowler,Zimbabwe
605,Richard Ngarava,25,Left-handed,LFM,Pace Bowler,Zimbabwe
606,Victor Nyauchi,31,Right-handed,RFM,Pace Bowler,Zimbabwe
607,Blessing Muzarabani,27,Right-handed,RFM,Pace Bowler,Zimbabwe
608,Donald Tiripano,35,Right-handed,RFM,Pace Bowler,Zimbabwe
